q,total_time
10,0.000206
10,0.000173
10,0.000208
10,0.000174
10,0.000173
11,0.000305
11,0.000311
11,0.000299
11,0.000310
11,0.000299
12,0.000587
12,0.000603
12,0.000580
12,0.000574
12,0.000573
13,0.001147
13,0.001145
13,0.001250
13,0.001145
13,0.001146
14,0.002313
14,0.002302
14,0.002423
14,0.002324
14,0.002329
15,0.004839
15,0.004875
15,0.005079
15,0.004817
15,0.004884
16,0.010139
16,0.010127
16,0.010255
16,0.010323
16,0.010239
17,0.021302
17,0.021404
17,0.021296
17,0.021493
17,0.021132
18,0.044569
18,0.044291
18,0.044359
18,0.044859
18,0.044968
19,0.093840
19,0.094360
19,0.093425
19,0.093418
19,0.093832
20,0.198263
20,0.198663
20,0.197336
20,0.199019
20,0.197720
21,0.418178
21,0.420073
21,0.416941
21,0.418110
21,0.418164
22,0.875076
22,0.880367
22,0.877747
22,0.874641
22,0.876875
23,1.837253
23,1.837569
23,1.842058
23,1.835328
23,1.836394
24,3.830058
24,3.856990
24,3.855163
24,3.838582
24,3.853875
